Country Name,Match,Region,"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
Turkmenistan,Turkmenistan,Asia,7230193,69.913,5837.842245
Turks and Caicos Islands,Turks and Caicos Islands,Americas,45847,77.918,31280.5418
Tuvalu,Tuvalu,Oceania,9992,66.852,5911.327271
Uganda,Uganda,Africa,47312719,67.675,963.0673141
Ukraine,Ukraine,Europe,41048766,72.658,4199.670898
United Arab Emirates,United Arab Emirates,Asia,10074977,80.487,50759.75892
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe,67604000,81.01121951,47057.04323
United States,United States of America,Americas,334017321,77.43414634,76657.24888
Uruguay,Uruguay,Americas,3390913,76.468,20818.61461
Uzbekistan,Uzbekistan,Asia,34938955,72.147,2578.666894
Vanuatu,Vanuatu,Oceania,313046,71.302,3370.21192
"Venezuela, RB","Venezuela, Bolivarian Republic of",Americas,28213017,72.566,3155.042071
Viet Nam,Viet Nam,Asia,99680655,74.502,4147.697772
Virgin Islands (U.S.),Virgin Islands (U.S.),Americas,105413,80.3195122,44320.90919
West Bank and Gaza,"Bonaire, Sint Eustatius and Saba",Americas,5043612,76.662,3799.95527
"Yemen, Rep.",Yemen,Asia,38222876,67.952,0
Zambia,Zambia,Africa,20152938,65.279,1447.123101
Zimbabwe,Zimbabwe,Africa,16069056,62.36,2536.400502
