economy,Country,Internet_Usage,GDP_USD,GDP_per_Capita,Poverty_Rate,Total_Population
CIV,Cote d'Ivoire,40.6528,87113179149.284,2727.8935220697,20.9,31934230.0
HRV,Croatia,83.6324,92983810328.9088,24050.4397933135,0.3,3866200.0
CUB,Cuba,71.275,107352000000.0,9605.27914559614,,10979783.0
CUW,Curacao,68.1272,3561178196.20713,22832.8953958667,,155967.0
CYP,Cyprus,91.2211,37634533331.8902,38674.29296875,0.0,1358282.0
CZE,Czechia,87.6878,347034062928.479,31823.3078290564,0.0,10905028.0
DNK,Denmark,99.7692,424524722037.047,71026.4832271897,0.4,5976992.0
DJI,Djibouti,65.0248,4152145939.98458,3552.72335079222,25.4,1168722.0
DMA,Dominica,83.8255,688881481.481481,10405.2787777582,,66205.0
DOM,Dominican Republic,91.0022,124282245638.568,10875.6618443092,0.8,11427557.0
ECU,Ecuador,77.1727,124676074700.0,6874.705739766,7.3,18135478.0
EGY,"Egypt, Arab Rep.",72.6899,389059911003.566,3338.47371395895,1.4,116538258.0
SLV,El Salvador,67.6558,35364960000.0,5579.65969165029,4.6,6338193.0
GNQ,Equatorial Guinea,60.3661,12765777677.0622,6745.40013244916,8.8,1892516.0
ERI,Eritrea,20.0104,2065001626.01626,688.68165957684,,3535603.0
EST,Estonia,92.238,43130419829.35,31428.3547816104,0.3,1372341.0
SWZ,Eswatini,57.62,4858885840.77236,3909.55892378182,44.5,1242822.0
ETH,Ethiopia,16.6981,149740297952.986,1133.88279681719,38.6,132059767.0
FRO,Faroe Islands,97.582,4052937169.76536,74119.6607553879,,54681.0
FJI,Fiji,79.3485,5968125909.27126,6425.74151715712,4.7,928784.0
FIN,Finland,93.5139,298696961297.656,53149.7671934051,0.2,5619911.0
FRA,France,88.6538,3160442622465.08,46103.0840855884,0.1,68551653.0
PYF,French Polynesia,72.7039,6323716355.05009,22439.8838746025,,281807.0
GAB,Gabon,71.9256,20895684425.6752,8230.04311451151,3.8,2538952.0
GMB,"Gambia, The",45.9137,2404888749.21907,871.340291776294,22.0,2759988.0
GEO,Georgia,81.8843,34189423544.9955,9241.49122313713,4.2,3699557.0
DEU,Germany,93.5,4685592577804.69,56103.7323182554,0.2,83516593.0
GHA,Ghana,69.9445,82308110386.4641,2390.77237652715,39.0,34427414.0
GRC,Greece,86.2697,256238371778.118,24626.1481858973,0.6,10405134.0
GRL,Greenland,69.4825,3326543974.39193,58498.9707973609,,56836.0
GRD,Grenada,74.1201,1371918518.51852,11705.0902976658,0.8,117207.0
GUM,Guam,80.5055,6910000000.0,41833.1517132825,,167777.0
GTM,Guatemala,56.0535,113199581158.203,6150.02571438505,9.7,18406359.0
GIN,Guinea,26.5014,25008678293.4084,1694.95375862193,11.7,14754785.0
GNB,Guinea-Bissau,32.4661,2218393804.54798,1007.74151728028,39.9,2201352.0
GUY,Guyana,81.7221,24662709832.1343,29675.2443873316,13.0,831087.0
HTI,Haiti,39.262,25224154990.7946,2142.62330526788,40.4,11772557.0
HND,Honduras,58.2789,37093565854.0437,3426.43483328923,15.7,10825703.0
HKG,"Hong Kong SAR, China",95.9778,406863396487.342,54074.6928519479,,7524100.0
HUN,Hungary,93.779,222722738925.641,23292.3263882478,0.9,9562065.0
ISL,Iceland,99.8301,33255181468.9382,86040.5309851288,0.1,386506.0
IND,India,70.0,3909891533858.08,2694.73780859961,5.3,1450935791.0
IDN,Indonesia,72.7808,1396300098190.97,4925.43048751861,5.4,283487931.0
IRN,"Iran, Islamic Rep.",79.6309,475252089215.416,5190.16959024821,2.5,91567738.0
IRQ,Iraq,81.7291,279641257615.385,6073.61032342708,0.5,46042015.0
IRL,Ireland,96.4974,609157459747.205,112894.953240805,0.1,5395790.0
IMN,Isle of Man,,7431257410.92713,88328.548125887,,84160.0
ISR,Israel,88.1824,540379921261.681,54176.6844383302,0.7,9974400.0
ITA,Italy,89.2207,2380825077243.59,40385.3413957669,0.9,58952704.0
JAM,Jamaica,89.473,22014397089.7689,7753.8006955432,1.4,2839175.0
JPN,Japan,86.9815,4027597523550.58,32487.0778047567,1.2,123975371.0
JOR,Jordan,92.5344,53352289577.4648,4618.09592498567,0.1,11552876.0
KAZ,Kazakhstan,93.3917,291480274648.826,14154.6324958076,0.0,20592571.0
KEN,Kenya,34.9762,120339557905.932,2132.43452097647,46.9,56432944.0
KIR,Kiribati,88.0,307862564.489711,2288.63471423684,6.1,134518.0
KOR,"Korea, Rep.",97.8956,1875388209406.8,36238.639908315,0.2,51751065.0
XKX,Kosovo,89.443,11197246322.588,7023.06598512878,10.0,1594353.0
KWT,Kuwait,99.7473,160227273053.334,32717.7186631255,,4897263.0
KGZ,Kyrgyz Republic,88.4701,17478259659.2625,2420.18542283831,2.7,7221868.0
LAO,Lao PDR,63.6255,16502933121.3379,2123.97909415109,15.7,7769819.0
LVA,Latvia,92.7076,43684254432.3609,23409.0845154775,0.4,1866124.0
LBN,Lebanon,83.4933,20078620356.9931,3477.72489842684,5.9,5805962.0
LSO,Lesotho,47.991,2271759454.51107,971.90771824829,41.9,2337423.0
LBR,Liberia,23.4979,4779300900.0,851.497723870206,33.6,5612817.0
LBY,Libya,88.4989,48487151215.345,6569.16408678648,,7381023.0
LIE,Liechtenstein,97.3444,8239379403.22096,206780.590353385,,40450.0
LTU,Lithuania,88.5029,84869215513.3648,29384.0189598663,1.1,2888278.0
LUX,Luxembourg,98.7606,93279851863.4062,137781.681659123,0.1,677012.0
MAC,"Macao SAR, China",89.1806,49467258923.3244,72004.7437020733,,687000.0
MDG,Madagascar,20.3671,17420501490.1231,544.987501003384,69.2,31964956.0
MWI,Malawi,17.9881,11316411329.4619,522.570393642547,75.4,21655286.0
MYS,Malaysia,98.0206,422227005428.688,11874.4273684245,0.0,35557673.0
MDV,Maldives,84.6851,7061608267.25451,13379.3513577224,0.0,527799.0
MLI,Mali,35.0921,26794747239.8805,1094.61949265799,36.1,24478595.0
MLT,Malta,92.0727,24971574502.4475,43898.5781808597,0.1,568847.0
MHL,Marshall Islands,65.7177,290108489.990234,7726.33668877794,2.1,37548.0
MRT,Mauritania,37.3809,10908045686.8808,2110.12036938187,10.2,5169395.0
MUS,Mauritius,79.5,14937861786.17,11990.7798944837,0.5,1245779.0
MEX,Mexico,81.1832,1856365616165.94,14185.7812248529,2.3,130861007.0
FSM,"Micronesia, Fed. Sts.",39.3833,471425099.488675,4166.00476748564,26.1,113160.0
MDA,Moldova,80.2126,18200340853.6517,7576.19589413326,0.1,2402306.0
MCO,Monaco,99.1497,11125783372.4794,288001.433369041,,38631.0
MNG,Mongolia,83.0162,23794540024.5132,6750.6301157724,0.4,3524788.0
MNE,Montenegro,88.8826,8270016670.86774,13263.3281277699,2.5,623525.0
MAR,Morocco,91.0,160610994054.734,4153.1943359375,3.7,38081173.0
MOZ,Mozambique,19.8434,22745341305.0622,656.776824637306,81.4,34631766.0
MMR,Myanmar,58.5357,74068349523.8095,1359.05001560107,10.3,54500091.0
NAM,Namibia,64.4061,13372354511.716,4413.12752211572,22.9,3030131.0
NRU,Nauru,81.6554,162588620.632234,13609.158837552,9.7,11947.0
NPL,Nepal,55.7716,42914268286.7109,1447.31004458428,2.4,29651054.0
NLD,Netherlands,97.0068,1214927698572.66,67520.4218956281,0.1,17993485.0
NCL,New Caledonia,82.0058,8548919387.12607,29213.1923192946,,292639.0
NZL,New Zealand,96.1638,260172385097.616,49205.1792146792,,5287500.0
NIC,Nicaragua,58.2314,19693982967.5926,2847.53966339498,6.6,6916140.0
NER,Niger,23.1879,19876128485.7857,735.270255787226,60.5,27032412.0
NGA,Nigeria,39.2136,252261880141.151,1084.16041805436,41.8,232679478.0
MKD,North Macedonia,87.1819,16951682245.4202,9291.85661671864,3.9,1824359.0
MNP,Northern Mariana Islands,0.0,1096000000.0,23785.754590043,,44278.0
NOR,Norway,99.0,483592648313.301,86785.4334489176,0.2,5572279.0
OMN,Oman,95.2517,107137198769.386,20285.2272897377,,5281538.0
PAK,Pakistan,27.3759,371570000121.266,1478.77277977996,16.5,251269164.0
PLW,Palau,26.9703,276733062.744141,15610.8231931032,,17695.0
PAN,Panama,68.5485,86523959131.7472,19161.2188501596,3.1,4515577.0
PNG,Papua New Guinea,24.0667,31800428265.5246,3006.70564478923,52.2,10576502.0
PRY,Paraguay,81.5781,44458118397.4445,6416.09708970845,2.1,6929153.0
PER,Peru,81.9571,289221969062.941,8452.37167056621,5.1,34217848.0
PHL,Philippines,83.7661,461617509782.355,3984.8315387656,5.3,115843670.0
POL,Poland,88.585,917767106146.761,25103.565661423,0.2,36559233.0
PRT,Portugal,88.487,313271185085.102,29292.242104753,0.4,10694681.0
PRI,Puerto Rico (US),87.2918,126029527033.705,39343.7154660139,,3203295.0
QAT,Qatar,99.6528,219162637362.637,76688.6941743178,0.0,2857822.0
ROU,Romania,91.2905,382564217988.866,20080.2096215595,0.7,19051804.0
RUS,Russian Federation,94.365,2173835806671.66,14889.0185546875,0.1,143533851.0
RWA,Rwanda,34.2005,14251642235.0968,999.65456165547,38.6,14256567.0
WSM,Samoa,58.1386,1175749785.65113,5392.87761915762,4.5,218019.0
SMR,San Marino,87.0278,2027527227.831,59879.7173015651,,33977.0
STP,Sao Tome and Principe,61.4607,822154621.088897,3490.56883486557,13.0,235536.0
SAU,Saudi Arabia,100.0,1239804533333.33,35121.6628687742,,35300280.0
SEN,Senegal,60.6122,32808056600.9436,1773.21829923448,17.9,18501984.0
SRB,Serbia,87.6907,90097765959.1114,13679.2065983557,2.0,6586476.0
SYC,Seychelles,87.4009,2167239562.46013,17858.8226383978,0.7,121354.0
SLE,Sierra Leone,20.635,6971127235.3123,806.654650417726,41.5,8642022.0
SGP,Singapore,94.3776,547386645891.847,90674.066632628,,6036860.0
SXM,Sint Maarten (Dutch part),,1797836665.95136,41472.5874498583,,43350.0
SVK,Slovak Republic,89.8251,140934076532.375,25992.6748502048,0.5,5422069.0
SVN,Slovenia,90.7636,72972015197.3859,34301.0318686594,0.0,2127400.0
SLB,Solomon Islands,42.4597,1583964703.75061,1933.55538435227,40.3,819198.0
SOM,"Somalia, Fed. Rep.",27.6,11967000000.0,629.538899449007,,19009151.0
ZAF,South Africa,75.6592,401144998373.585,6267.186814093,31.2,64007187.0
SSD,South Sudan,9.27123,11997800760.2242,1080.14718624765,76.5,11943408.0
ESP,Spain,95.7575,1725671652742.19,35326.7683069278,0.8,48848840.0
LKA,Sri Lanka,51.2,98963185509.6499,4515.56787322732,2.7,21916000.0
KNA,St. Kitts and Nevis,76.4208,1122388888.88889,23960.6534357084,,46843.0
LCA,St. Lucia,70.0834,2549062962.96296,14181.6303351598,0.1,179744.0
MAF,St. Martin (French part),,649206262.847519,21668.3776525323,,26129.0
VCT,St. Vincent and the Grenadines,75.9927,1157207407.40741,11501.2265187188,,100616.0
SDN,Sudan,26.4383,49672435513.1126,984.607666015625,10.1,50448963.0
SUR,Suriname,78.3958,4416775112.09627,6961.78955961526,2.2,634431.0
SWE,Sweden,95.5293,603715224265.798,57117.4877440616,0.8,10569709.0
CHE,Switzerland,97.3444,936564198048.516,103998.186685604,0.2,9005582.0
SYR,Syrian Arab Republic,34.65,23622827079.5047,1051.67149587463,16.5,24672760.0
TJK,Tajikistan,56.791,14204575548.5536,1341.20229027672,6.1,10590927.0
TZA,Tanzania,29.0638,78844405385.2195,1186.71691894531,51.3,68560157.0
THA,Thailand,90.8672,526517658841.684,7346.62022142185,0.0,71668011.0
TLS,Timor-Leste,34.0207,1865608515.41321,1331.9705130185,43.9,1400638.0
TGO,Togo,37.0223,10651180146.531,1119.38160509429,34.4,9515236.0
TON,Tonga,58.5334,591139749.44287,5651.59373063157,0.4,104175.0
TTO,Trinidad and Tobago,84.6994,25633544529.4849,18733.4110406494,3.2,1368333.0
TUN,Tunisia,72.3542,51332285656.5422,4181.13789301228,0.7,12277109.0
TUR,Turkiye,87.3079,1359123768774.12,15892.7157287241,0.5,85518661.0
TKM,Turkmenistan,21.251,51387209872.2994,6856.65802730208,35.1,7494498.0
TCA,Turks and Caicos Islands,0.0,1745378000.0,37506.7798431288,,46535.0
TUV,Tuvalu,74.3146,62280311.5852172,6344.7750188689,9.0,9646.0
UGA,Uganda,8.94983,53911907086.1525,1077.91278452817,59.8,50015092.0
UKR,Ukraine,82.3755,190741262414.705,5389.47314453125,0.0,37860221.0
ARE,United Arab Emirates,100.0,552324846834.581,50273.5060469837,0.0,10986400.0
GBR,United Kingdom,96.2988,3686033044482.13,53246.3676145108,0.5,69226000.0
USA,United States,93.1444,28750956130731.2,84534.0407841548,1.2,340110988.0
URY,Uruguay,91.9911,80961511073.5797,23906.5133029408,0.2,3386588.0
UZB,Uzbekistan,89.0136,114965293466.611,3161.70010632875,2.7,36361859.0
VUT,Vanuatu,45.7313,1117972034.22642,3410.77023167097,19.5,327777.0
VEN,"Venezuela, RB",61.6,119802963257.783,4217.59102643391,9.7,28405543.0
VNM,Viet Nam,84.15,476388230307.175,4717.29028732449,1.6,100987686.0
VIR,Virgin Islands (U.S.),64.3775,4672000000.0,44320.909185774,,104377.0
PSE,West Bank and Gaza,86.6377,13711100000.0,2592.30591217647,2.1,5289152.0
YEM,"Yemen, Rep.",13.8152,21606160663.0318,633.887202451545,33.3,40583164.0
ZMB,Zambia,33.0,25303185342.2511,1187.10943350064,71.7,21314956.0
ZWE,Zimbabwe,38.4266,41539411516.4448,2497.20332208763,49.2,16634373.0
VGB,British Virgin Islands,77.7043,,,,39471.0
GIB,Gibraltar,94.4445,,,,39329.0
PRK,"Korea, Dem. People's Rep.",0.0,,,,26498823.0
